number_team,nickname
7289,Blue Eagles
7292,HITTITE ANGELS
7309,Green Lightning
7312,T3
7314,Tornadoes
7318,Nanuet Knightronz
7321,Águila Robótica
7323,TriTron
7327,Metal Jackets
7332,Vancouver Puddle Jumpers
7401,DevTech117
7403,Lightning Blue Lizards
7407,Wired Boars
7413,Plus Ultra
7414,RetroRobotics
7415,Jaguar Robotics Sponsored By Feit Electric
7417,Bionic Bombers
7418,Channelview TechnoFalcons
7419,T.E.C.H. Support
7421,PrepaTec - OVERTURE
7423,GrizzBot
7425,Green Valley Robotics
7426,PAIR OF DICE ROBOTICS
7428,Gigawatts
7431,Wingspan
7433,Iona Fusion
7436,8-Bit Miners
7439,Qubit Robotics
7441,EVO Robotics
7443,Jag-Wires
7444,MOON STAR ROBOTICS
7447,Rōnin Robotics
7451,AvengerRobotics
7452,Dupo Tigers
7454,Huskies on Hogs
7457,suPURDUEper Robotics
7458,Senior Robotics Team
7459,Taubatexas Robotics
7460,Avi and Friends
7461,Sushi Squad
7464,ORION
7465,Magnetech
7466,Cymurghs
7470,iRAMBOTS
7471,Robo Montagnards
7472,R2 Jesu Robotics
7475,WIRED Team 7475
7476,EOM Robotics 7476
7477,Giddy GOATS
7479,Cardinals Robotics
7480,Machine Mavericks
7483,Mechanically Challenged
7485,Mo Co Robo
7491,Cyber Soldiers
7492,CavBots
7496,Robo Indians
7497,MARAHO
7500,MARAUDERS
7501,Golden Gears
7503,Radicubs
7504,CyBearBots
7506,WILDCARDS
7509,Brainstorm Robotics
7514,EVE Robotics
7515,Dark Side Robotics
7516,Louisville Centrons
7520,Team MineKee
7521,ULTIMATE Robotics
7522,MAKE1ROBOT
7525,Pioneers
7528,Nuts and Bolts
7530,B.O.S. Robotics
7531,Servos Strike Back
7534,Dragonflies
7536,ANKA ROBOTICS
7538,Metal Mountain
7539,Elev8
7540,Timberwolf Robotics
7541,Maple River Robotics
7546,Prepa Tec - MinerZ
7551,Extreme Mechanism
7553,OSTC -  SWEET BOTS
7558,ALT-F4
7560,Meteor Bots
7561,Blue Flamingos
7563,SESI SENAI MEGAZORD
7565,SESI SENAI ROBONÁTICOS
7567,SESI SENAI OCTOPUS
7570,New Tech
7575,Stark Robotics
7576,FMWill
7577,VELABOTS - Peñoles
7578,Quantum Mechanics
7583,Embers
7587,Metuchen Momentum
7589,Lishan Blue Magpie
7597,Team HorsePowered
7598,SCA Constellations
7602,Agri-bots
7603,VESPA ROBOTICS #7603 - Bill Hogarth Secondary School
7605,ASTRO
7607,The Blackbirds
7611,AMAL HAWKS
7616,Cerberus
7617,RoboBlazers
7619,illumiBOTi
7621,Iron Rangers
7623,Morebotics
7627,Bearcat Robotics
7632,An Kang Robotics Maker
7634,New Hawks
7636,Robomania
7645,NK MTC
7652,MiamiBeachBots
7653,Minebots 7653 - Fresnillo PLC -CECyTE 18 Ciénega
7654,Robot In Box
7656,MC Hammers
7657,ThunderBots
7658,MagiTech
7659,HNMCS Robotics
7660,The Byting Irish
7662,3RingCircuits
7667,OtterBots
7668,GatorBots
7669,Techno R4v7ns - Peñoles
7671,Fire Hazard
7672,SCORPIONS ROBOTICS
7673,Formosan Sika
7674,RaiderBots
7676,THS RoboDogs
7677,Bodacious Bulldogs
7682,FUSION ROBOTICS
7683,Harmonia
7686,Acabots
7687,Corcebots - Peñoles
7688,Creekside Robotics
7690,Ironworks Robotics
7691,TSA All Stars
7692,Beach Bums  7692
7694,THE IRON LIONS
7700,West Tech Paladins
7703,RoboBears
7709,Formosa Pangolin
7712,ACCN UMOJA
7713,Norse Code
7716,JLW Formula 01
7717,Steam Punks
7718,HVPA Dragons
7722,Resurrection MechaPhoenix
7724,Molokai Robotics
7725,PrepaTec - NUTS & VOLTS
7729,RAMs
7730,uNReal
7737,RaptorBotics
7738,Helion
7742,Cosmos Robot Works
7744,Wild Cards
7747,Hancock High Tech
7748,TECHTOLIA ROBOTICS
7755,Phantom Circuits
7757,Atomic Dishwashers
7758,MEVOLUTION
7759,Bulldog Bytes
7760,Griffin Innovations
7762,AutoPilots
7763,Carrborobotics
7768,The AutoMatons
7769,The CREW
7770,Infinite Voltage
7772,The Lucky 7's
7777,Septobots
7782,Wolverine Circuit Breakers
7784,Vassar Voltage
7790,Baywatch Robotics
7794,Marion Eagle Engineers
7796,Breaker Robotics
7797,Cloquet's RipSaw Robotics
7808,Kalkaska Dragoneers 7808
7809,Valhalla Nation
7810,Eagle Robotics
7811,Flamin' Hot Tigers
7813,New Haven Rockets Robotics
7814,RV Gearheads
7818,Williamston High School Vespidae
7826,Marquette Zetabotics
7833,FALCONS
7840,EMONER ROBOTICS
7845,8BIT
7848,WI-FIghterz
7849,Da Vinci's Creation
7850,C.A.R.D.S.
7855,Chronic Robophobia
7856,UPAD  Fusion
7858,Warriors
7864,North Woods Robotics
7865,Hope of Detroit Robotics
7869,The Fun Gang
7885,Panther Tech
7886,Cadet Robotics
7890,SeQuEnCe
7895,Trobots
7900,Trial N' Terror
7902,Markham FireBirds
7903,Rochester Prep
7906,Underdogs
7907,Spartan Robotics
7911,Belding Scrapcat Robotics
7913,"Bear"ly Functioning
7915,Ripon Robotics
8005,Mega MeadowBots
8006,The Phantoms
8011,Guangzhou Wayi
8012,APEX Robotics
8013,Boston Lions
8015,The Cheetahs
8016,Eco Robotics
8019,Patriot Engineering
8020,CyberpunK
8022,Raging Hawk Robotics
8023,Argonauts
8024,Robotans
8029,Steel Bronco Robotics
8030,Scrapbots
8032,SAASquatch Robotics
8033,Highlander Robotics
8041,Lake City Ultrabots
8042,Fenrir
8044,Denham Venom
8045,CVHS First Robotics: The Wallace Dynasty
8046,LakerBots
8048,HH East Palo Alto Churrobots
8051,TinkRex
8054,FLARE
8056,Laissez Faire
8057,All Wired Up
8058,IEL ROBOTICS
8060,Command B
8064,Imperial Watch
8066,WOLF ARMY ROBOTICS
8067,Alpha Lab
8069,Super Hornets
8070,CyberGriffins
8075,CyberTigers
8077,Delmar Robotics Engineers At MADE (DREAM)
8079,River Robotics Team
8080,Sequoyah Robotics
8081,UMEI Lightning Robotics
8084,ALFA ROBOTICS
8085,MOJO
8086,Robo Warriors
8087,Cougar Pride Robotics
8088,Bionic Panthers
8089,Rockway Robotics
8090,Mavnesium
8096,Cache Money
8100,Grayson Robotics
8103,Knight Robotics
8105,Apollo Black Cat - Peñoles
8112,Cyclotrons
8114,Rocketeers
8115,Platinum Peacocks
8116,Hatchet Robotics
8117,The Easton RoboRovers
8118,Gearing With Grace
8119,TigerBotics
8122,Mechanical Mustaches
8124,BearBots
8126,Control Freaks
8127,Team Rabyte
8130,Absegami Robotics
8132,Sysmik
8137,Byting Bulldogs
8140,RoboManiacs
8144,Red Chair Robotics
8145,Tech Warriors
8146,Albatros OSTIMTECH
8151,Wildfire
8152,Escouade
8153,Tech4Peace
8158,Bosphorus Robotics
8159,Golden Horn
8166,ROBOCUBE
8169,Aries
8173,Brighton College Gear Zero
8174,BityBots 8174
8175,Piece of Mind
8177,Vector
8179,Robo Falcons
8182,Loth Robotics
8188,Grand Force
8193,The Steel Stingers FRC
8205,Mind Over Metal
8209,SEZMECH
8214,Cyber Unicorn
8220,Space Tigers
8222,The Argonauts
8223,Mariners
8224,Vanguard Robotics
8230,KoiBots
8234,Panthinators
8243,AstroCircuits
8248,ChainLynx
8255,Robodogs
8261,PROGRESSUS
8263,Robin
8264,ATA ROBOTICS
8266,Owlbot - Peñoles
8267,Riptide Robotics 8267
8276,ETECHNOLOGY#8276
8280,K9.0 Robotics
8285,Bionic Bulldogs
8286,Farwell Robotics
8290,Jaegers60 - Peñoles
8291,Yellow Experience Bateil - Peñoles
8293,Prepa Tecmilenio - Startech
8297,WIHI Robo Wolves
8298,Mighty Morphing Banana Slugs
8300,Titan Robotics
8302,Ni-Tro
8303,GatorBytes
8304,Robot MaSTrs
8308,GFLRobotics
8324,MECO Robotics
8326,GDS Mighty Hoppers
8334,Titan Robotics
8338,Boucherie Bears Robotics
8339,Penticton Robotics
8349,Newbotics
8352,CODE Gold
8362,Circuit Breakers
8364,Rising Stars Academy - Nebulas
8369,Coyotech Robotics
8370,Glow With The Flow
8372,HCN Storm
8373,The Flying Octopi: 8373 R.R.T.
8374,Bongo Bots
8385,Metal Madness
8387,MECH Mavericks
8392,Mac Attack
8393,The Giant Diencephalic BrainSTEM Robotics Team
8397,Astrobots
8404,SKYWALKERS
8408,Kiss Kats
8410,Oyster River Overdrive 8410
8421,CRUSADERS
8422,Husky Howlers
8423,Next Express
8424,Tractor Technicians Next Gen
8426,Automated Amphibians
8427,Protobots
8429,Valence Robotics
8430,The Hatch Batch
8500,TNT Robotics
8503,Raid One
8507,Jagwire Robotics
8512,Manzano Monarchs
8513,Sisters 1st
8514,Junior Squirrels
8515,Photon
8516,Wired Up
8517,Bounty Hunters
8519,Iron Eagles
8521,CyberLions
8522,SHS - Robos
8528,AstroChimps
8531,TermiKnightors
8532,Classified
8533,Rancho Reapers
8544,Reinforcement
8546,Linebreak
8551,RoNex
8556,Lion Robotics
8557,ConquEra
8558,Prepa Tecmilenio Golden Hawks
8561,Cartesian Robotics
8564,Disco Ducks
8567,Team Ultraviolet
8569,Zhonghe
8570,Binary-Bolts
8572,Tech Inheritors of Al Khwarizmi
8573,Rogue-Rangers LEGACY
8574,Audeamus
8575,The Due Westerners
8576,Golden Warriors Robotics
8577,Georgia Cyber Academy Champions
8581,PizzaByte Robotics
8584,Infinity Robotics
8586,Firebirds Robotics
8588,Tech Devils
8590,CAVBOTICS
8592,Newton²
8595,This Is How We Play
8598,Electro-Knights
8600,Kernel Panic
8604,Alpha Centauri
8608,Alpha Bots
8610,Lanier Voks
8611,Cyber Patriots
8612,Calvin Christian Robotics
8613,Barker Greybacks
8615,SAZANKA Robotics
8622,The CyBirds
8623,Michigan FC
8624,The Bots Who Say "Ni!"
8625,MHS Eagle
8626,Cyber Sailors
8628,Newark School of Global Studies
8630,CAP ROBOTICS
8700,W.I.R.E.D
8701,GRAFFITI
8704,LCMR
8705,Sci Tech FRC
8706,Malcolm X Shabazz Bulldogs
8707,The Newark Circuit Breakers
8708,Ov3R1y K0Mp13X
8709,Pathfinder Tech
8711,The Midnight Ostrich Runners
8713,Nordonia Knights
8714,Robo Griffins'
8717,Cyber Vipers
8718,Tigerbotics
8719,Oakville Dynamics
8721,DAIS NAID 8721
8724,Mayhem
8725,MistyPanther
8726,CryptoHawks
8727,Glitch 2.0
8728,Argonauts
8729,Sparkling H2O
8731,Wild WYRE
8732,Trinity Force
8734,Prepa Tecmilenio - BATS
8736,The Mechanisms
8737,Rocket Rampage#8737
8738,Slice
8739,Redhawk Robotics
8740,Prepa Tecmilenio - Quantum Force
8742,Argyll Attack
8744,Leviathans
8746,Knights
8749,Farmersville  Robotics
8750,Tarpontron1cs
8753,Spectre
8756,Magic Valley Logic Control
8757,GeodeBots
8758,Tar-Robo Turtles
8761,AHS Tiger8761
8764,Thunder Robotics
8765,Parallel Units
8766,The Black Machine
8767,Dark Horse Robotics
8768,CTEC Titans
8769,G.O.R.T.s
8770,FireBolts
8771,PioTech
8772,Magic City Wizards
8773,Robo Rams1
8774,REST Robotics
8775,Creekside
8777,SafranTech
8778,HSUWerx
8780,TED ROBOTICS
8782,TroBotics
8783,Apeiron
8784,HEVSEL
8787,Mavericks
8788,Special Forces BallistaBots
8789,The Lost 10mm Sockets
8790,Departure
8791,Mighty Patriots
8793,Pumpkin Bots
8795,The Chaotics
8796,MEF Robotics
8798,DAMAS ROBO
8799,IZELMAN ROBOTICS
8800,INDUSTRY ROBOTIC
8802,Milwaukee United
8803,MechaMarines
8804,Cyber Bears Robotics
8805,NKST36
8806,Our Lady of Providence Dream League
8808,SWLA Tech Pirates
8814,Blackhole
8815,Barnstormers
8816,Coyotronics
8817,Buccaneer Robotics
8818,The Foe - Foe Engineering Group
8819,The ARC-TECH BEARS
8821,TVRT-Trojanbots
8822,Lc3 Thunderbirds
8824,Wapello Royalty
8825,Team Eagle Eyed
8826,Parkway Eagles
8827,The Cougar-Trons
8832,AutoDawgs
8836,Wayne Enterprises Inc.
8839,Shoshone Robotics
8840,Bay Robotics
8841,OTTER
8842,SAR
8844,Flamethrowers
8847,Milwaukee Cyber Cheese
8848,Blu CRU
8849,Storm Robotics
8852,Drew Robotics
8853,Yukikaze Technology
8858,Beast from the East
8861,06ANGORA
8863,ANATOLIAN DEAF ETERNALS ROBOTICS
8865,Dacula Droids
8866,Innovation Robotics
8870,RedCards
8871,Saber Dynamics
8872,JJSJF / Gwinnett-NSBE Jr. 'SPECIAL OPS'
8873,Rockefeller Robotics
8874,The Cybirds
8878,ArrowBot
8879,REDBird Robotics
8880,Terra Cyborg
8882,Infinity BR
8884,Knight Owls
8885,Socratic Schematics
8887,West Central Area
8888,Flying Lions
8889,Project W
8891,Wild Raccoons
8895,Redwolves Robotics
8896,Wolf Tech Robotics
8898,Royal Rebel Robotics
8899,Eagles
9001,Delta Force
9002,RoboFalcons - Foothill High School
9003,TuTu Turtles
9004,Milliones Mega Mechatronic Wildcats
9005,Avian Robotics
9006,Crescent Wing Robotics
9007,MIT (Muskogee's Innovative Team)
9008,G-Force Robotics
9012,Team Waffles
9015,Questionable Engineering
9016,Syosset Robotics
9018,ElRobotiKO
9019,Ko'olaupoko
9020,Galatasaray Robotics
9021,uSELESScASE
9022,MC Robotics
9023,Future Martians
9024,Callister
9025,Mechameleons
9026,Aero
9027,PATH to Domination
9028,GFORCE
9029,Team NF
9030,MecHack
9031,Wildbots
9032,RoboWhales
9033,Ocebots
9034,The Space Dolphins
9036,Ramen Robotics
9037,HHS Black Ops
9038,SF UNITY
9040,Sunset Robo Knights
9042,SOARIN
9043,Valkyrie
9044,TeraViks
9045,North Lions SESI/SENAI
9046,SESI SENAI BBTECH
9047,TechMaker Robotics
9048,SESI/SENAI P0t1BOT (Potibot)
9049,SESI SENAI STEAMPUNK MONKEY FRC
9050,Tucanus
9051,G-P Robotics: Symbiosis
9053,Prepa Tecmilenio - Iron Hawks
9054,Johnson City Joules
9055,Knights of Katahdin (Ka TAH din)
9056,CyberHuskies 9056
9057,G.I.R.L.
9059,COLTech Robotics
9060,Prepa Tecmilenio - Desert Robotics
9061,Mechanical Mutts
9062,Critical Circuits
9065,Prepa Tecmilenio - SpaceHawks
9066,Cavalo Vendado
9067,The Goonies
9068,The Chargers
9070,CELESTIAL
9071,SlicerTech
9072,TigerBots
9073,Skol Robotics
9074,Roboant
9075,Wapakoneta High School (WHS) Robotics
9076,Villaciraptors
9077,The Crown
9080,ENIGMA
9081,Bluetonium
9082,No Limit
9084,Octobots
9085,SESI SENAI MEGA HARPY
9086,Wildcat Robotics
9088,Mark Infinity
9089,ACS Phoenix
9091,A.W.E.
9092,Tower Robotics
9093,Veritas Robotics
9094,The Earthquakers
9095,Potentia
9096,Bad Weather
9097,MachBusters
9098,FireHawks
9100,Robo Roses
9101,Green Mountain Robotics
9102,CyborgBulls
9103,Prepa Tecmilenio THUNDERVOLTS
9105,TechnoTalons
9106,Spires
9110,Atomiic
9111,Pyro Mechanics
9112,RoboRavens
9114,Rotationaries
9116,The Canucks & Bolts
9119,Iron Legends
9120,Silverbot - Fresnillo PLC
9121,Mavericks
9124,GESTO ROBOTIC TEAM
9125,Mechanical Magicians
9126,Silver Hawks
9127,EOM Robotics 9127
9128,ITKAN Robotics
9132,Basaksehir Teknoloji Takımı
9134,Prepa Tecmilenio - DEVOLT
9136,Rampage
9137,Bionic Vipers
9138,Robo Hawks
9139,Reserve Robotics
9140,The Robobots
9143,Armor Robotics
9144,Helix
9146,Burnouts
9147,The Joebots
9148,Atlas
9149,RoboCats
9150,Labyrinth Robotics
9151,RoboLynx
9152,Rat Fight
9153,Bearcat Robotics
9155,New Tech Kraken
9156,Trojan Robotics - The Blacksmiths of Troy
9157,Iconic Panthers
9159,SHAGO ROBOTICS TEAM
9160,YAL THUNDERS
9162,ALL MIGHT
9163,HYDRA
9164,Tech Vikings
9165,Starbots FRC
9166,TecRobot
9168,AGROBOT
9169,AGROTECH
9172,Robo-Sharks
9174,ROBOKIRAC
9175,BrainMachine-FRC
9176,Greenspire Steel Sturgeons
9178,Cyber One
9179,Ballou Robotic Knights
9180,GHS Robotics - Ursa Major
9181,PlatyPirates
9182,Tech Tr1be
9183,RoboComets
9185,PL ROBOTICS
9188,Pantherbots2
9189,Disastrous Data
9193,Short-Circuited Eagles
9194,Gemin√-1s
9195,Team ProdiXy
9196,FERRÃO DE ARRAIA
9198,The Beach Botz
9199,SESI SENAI SHARKS
9200,SESI SENAI STARDUST
9202,Silicon Valley Technos
9203,Quake
9204,Aluminum Armada
9205,Technical Marauders1
9206,GRP Titans
9207,Redneck Robotics
9208,Eddies Circuit
9209,Falcon Force
9210,Fighting Falcons
9211,ACCE Underdogs
9212,Infinity
9213,TECUANI
9215,T-Town Tech
9218,Alpha Technology
9219,Nine Tails
9220,Geekos
9223,Brick and Mortar
9225,Wired Wildcats
9226,GRemlins
9227,Backwoods Bots
9228,The Cougar Coders
9231,Haydarpasa Panthers
9232,IBBTECH
9233,Luminous Robotics Team
9234,Les Aigles d'or
9235,ThunderBolts
9237,Swartz Creek Dragonators
9238,Jaybots
9239,Panthers robotics
9240,Hydra
9241,EV ROBOTICS
9242,Hamady Hawks
9243,Maniac Robotics
9244,Belize IT
9245,Laker Dreadnoughts
9247,SainTech Robotics
9248,Orchard View Cyber Cardinals
9249,Copper Country Cats
9251,Spartan Robotics
9252,Wingspan
9255,Botmasterz
9259,WAATBOTS
9260,Built4Bibb Robotics
9262,Humberside Huskies
9263,ALD Lions
9269,IGNITE Pathways Robotics
9271,Cyber Porpoises
9277,Sparkans
9280,PrepaTec - High Altitude Robotics
9281,FaroTech
9282,PrepaTec- SINAVOLT
9286,The Oaker Association
9287,Bionic Bengals
9289,Vikings
9292,Zen Maker Robotics
9295,Harlem Rails
9297,BOGOBOTS
9298,Greeni3s
9300,Olympians
9301,PrepaTec Chihuahua - MechRams
9302,Northstar
9303,PO®️TAL to GOATland
9304,legend's
9305,MonT
9307,Spicy Chihuahuas
9309,Eleanor McMain
9311,Warhorse Robotics
9312,NERD Spark
9313,ROBOhana
9314,Middleton Berserker's
9315,Coding Comets
9316,CUBATRONICS
9400,BagelBytes
9401,Midas' Mayhem
9402,Explorer1
9403,Starstuff
9404,Forge
9405,KNOS Robotics
9406,TechJunior
9407,Heatwave Robotics
9408,Warbots
9409,Caelum
9410,PowerHouse
9411,Rhapsodia mechanicus
9414,RAMS Robotics
9415,The Westinghouse Bot-Dogs
9416,I.Θ.W.A.
9418,Pastabots
9419,Team Vulcan
9421,Carmel Robotics
9422,Team Forza
9423,SL Robotics
9424,E.O. JAG BOTS
9425,Intra Milwaukee
9426,Galena CLAWBOTICS
9427,IDeer
9428,Springfield Robotics "The Cashew Chickens"
9429,NEACTC Tech Titans
9430,CTEC Robotics
9431,Snider Panthers
9432,Team 8-Bit
9433,Lil' Timmy's Big Team
9435,Pure Imagination 2.0
9436,Pointr Giro
9437,Cosmonauts
9438,Leopard Tech
9439,Knights of Polaris
9440,Bolts&Nuts
9441,Arcura
9442,Miso Mechanics
9443,Aluminum Panthers
9444,Perseverance
9445,The BraveBots
9446,C Cubed
9447,AsoTech Robo-lation
9448,Wave Wranglers
9449,Yellowjackets
9450,Velocity Raptors
9451,Aydos
9452,LHS Steel Stingers
9453,#MSD Mount Vernon Wildcats
9455,DinoMights
9456,Nunez Robotics
9457,Matronic Circuits
9458,SESI SENAI JACTECH
9459,SESI SENAI RPRT HAWKS
9460,SESI SENAI STEEL BULLS
9461,SESI SENAI MecaChronos
9462,Toefur's Titans
9464,Başakşehir Robotics
9467,ÇeViK
9468,Team Sirius
9469,LUMOS ROBOTICS
9470,Ctl Alt Defeat
9471,EF Academy
9472,K2C Robotics
9473,CYGNUS ROBOTICS
9474,3R (Red River Resistance)
9475,Mon Valley Mammoths 4
9476,CYBER TIGERS
9477,Lambda
9478,Robo-Colts
9479,CREDENTIS
9480,Gear Bears
9483,İstanbul Wildcats
9484,Robot's District
9485,HYOBOTS
9486,ALPHASTORM FRC
9487,KRYPTON FRC
9490,TAC BEARS
9491,Silver Creek
9492,LadyTalons
9493,TechWasps923
9494,Hanabi
9495,TechKnow Difficulties
9496,LYNK
9497,NIMBLE PANTHER
9498,ZENSHIN Robotics
9499,KánariTech - Fresnillo PLC
9500,G28 Robotics
9501,Sidereal Envoy
9502,Idigna
9503,EF5 CHAOS
9504,Gunderson Grizzlies
9505,Best of Tech
9506,MECHS Robotics
9508,MOGUERA
9509,YPIE 2024
9510,Medusa
9512,Horsepower
9513,Circuit Crew 9513 - Caterpillar
9514,Blanson P-TECH/Gryphon Technik
9515,Carver P-TECH/Gryphon Technik
9516,Davis HS/Falcon Furious
9517,Eisenhower HS/Gryphon Technik
9519,MINERVA ROBOTICS
9520,Rock-it Robotics
9521,Humble Rumble
9522,Archimedes
9523,Archers
9524,SHS Cardinal Chaos
9525,NileTech
9527,WIHS TEAM
9528,The Wolf Pack
9530,Adams 23
9532,Messy Bees
9533,Melissa High School
9534,Wolves Robotics (Basic HS)
9535,The Knack
9538,Stallions
9539,Junk Bots
9541,M-stee (squared)
9542,Technodogs
9543,Harlan Robotics 23
9545,CARACAL ROBOTICS
9546,Techno Leopards
9547,Lotus
9548,NASA Bark River Bronconaughts
9549,The Mechadogs
9550,KSS STRIX Robotics
9551,Tiger
9552,Rambotics
9554,Portage Pythons
9555,TEAM HELIOS
9558,The Steel Vipers
9561,Dawson Dino Nuggets
9562,Reding Robotics 9562
9563,STEAMex USA
9564,Taishan Robotics
9565,CEZERİ
9566,Red Storm Rookies
9567,StormBreakers
9568,Leland Comets
9569,Milliken Mills Silver Knights
9570,EH Pirates
9571,Patriot Prime
9572,CC Shambytes
9573,MMHS
9574,Rock Bots
9575,Silver Robotics
9576,Loretto Lightning
9577,Recoil
9578,Player One
9579,Tech Devils
9580,#ChangeTheNow
9581,Bad Wolf 1
9582,HHS NASA Snaggbotics
9583,Lavender Robotics
9584,Spartan Squared
9585,RobUL
9586,Anglebotics
9587,STEMgc
9589,MCS Innovators
9590,Bison Tech
9591,DESTAN
9592,Blue’s Bolts ‘n Bots
9593,Rhinos
9594,Ashley  Bears
9595,ECHO
9597,Luban Robotics
9598,Flint
9599,Colorful Panda
9600,X-Flare Robotics
9601,BageTech
9602,CANINTECH
9603,MTECH
9604,TUIUTECH
9605,Creek Commanders
9607,RJR Cyber Demons
9608,Power Ponies
9609,Paraducks
9610,Blue Ivy
9611,SESI SENAI SC CyberRain
9613,Lion's Byte
9614,ROBOSSAUROS
9615,Redlands Robotics
9616,Opus Orion
9617,Metal Knight
9618,Tronarchs
9620,Eltynien
9621,Payload
9622,GRIDLOCK
9623,U-Turn
9624,Dynamiques Collège Charles-Lemoyne
9625,WOLFS ROBOTICS
9626,JagWire Robotics - NASA
9627,Yellow Haze
9629,Hibana Technology
9631,Chargers
9634,South Bay Robotics
9635,Cyber Rabbit
9636,Space Junk - Sponsored by NASA
9638,"Tigers, Bro"
9639,Sibley-Ocheyedan
9641,Robotics71
9642,I.N.T. Robotics
9643,Lady VOLTAGE
9644,NEIA Robotics
9645,POC
9646,The Marinators
9647,Ladybug
9648,Tigers Robotics
9649,Mulgrave Robotics
9650,Mio-Ausable Thunderbotz
9651,Ecorse Robo Raiders
9653,O.V.R.T (Ohio Valley Robotics Team)
9654,Kelly Trojans
9655,Shallowater
9657,SESI SENAI BATROBOT
9658,Camber
9659,Vanier Vikings
9660,Delgado Community College Dolphin Robotics
9661,Huskie STEAM
9662,Valley Lutheran High School Chargers
9663,Offshape Robotics
9664,Boogie Bots
9665,Vanderbilt Area Schools
9666,AAE Knights
9667,ITEM # 9667 Independent Team of Engineers that Meet
9668,West Robotics
9669,Regina Riveters
9670,The 4-H NASA Gadgeteers of St. Johns County
9671,Godwin Heights Robotics
9672,Colon Magi Robotics
9673,Ithaca Volt Vespids
9674,Trojan Power Robotics
9675,COLOSSUS
9676,Hub City STEAM
9678,Jamosti
9679,Madison Eagles
9680,SIA Phoenix Rising
9682,(un)Kn0wledgeables
9684,Cardozo Unstoppable 2024
9685,Crystal Oscillator
9690,Defuse Robotics
9692,Sigma
9693,Miami Dade College Sharkbotz
9694,TUBITECH
9696,Hami NASA_Yankatrons
9697,Bionic Bucs
9698,Boys & Girls Clubs of Northeast Florida Robotics Team
9699,Bayou STEM
9700,YMCABattleJacks
9701,Crosswired Robotics
9702,Nexus Robotics
9703,Q_Bots
9704,igKnighted
9705,EastRamapo
9706,R^3   (Redwood Ranger Robotics)
9707,River Mill Academy
9708,SciPort NASA FRC
9709,Isotope
9710,Discovery PolyBotz
9711,TCA Robotics
9712,Team Iron Sharks
9713,The NASA Martins
9714,High Altitude
9715,Tsinelas'
9716,IT Kids Robotics
9717,Poultronix
9718,Wookie Mistakes
9719,ThunderTech Robotics
9720,Metal Head Robotics
9721,Redhawk Robotics
9722,Polar Robotics
9724,TBD
9725,young law
9726,Notus Pirates
9727,Warrior Robotics
9728,BGCCF Joe R Lee Branch
9729,Knights
9730,Metal Maniacs
9731,All Saints Cougars
9732,The Rainbow Junkyard
9733,Gold Diggers
9734,Jasper County Robotics
9735,Electric Dragons
9736,Trash Bandits
9737,One Stone Innovators
9738,Ionic Bond
9739,Firefly
9740,CAN://Bus
9742,Walkerville Wildcats
9743,MV TITANS
9744,Breithaupt Bulldogs
9745,Lazer Sharkz
9747,Center Line High School Panthers
9748,Ann Arbor Academy Blue Herons
9750,ED Robotics
9751,OIA Panthers
9752,ITKAN Robotics Jr
9753,Team Success
9754,Vestabots
9755,Red Devil Robotics
9756,Robo Panthers
9757,Mecha Marauders
9758,Pantron-X
9759,Forge of Falcon
9760,Cristo Rey Jesuit Trailblazers
9761,LSMSA Robotics
9762,Blue Ridge Bots
9763,Cast Iron Clippers
9764,Maritime Marauders
9765,LCS Cougars
9766,Northridge Vikings
9767,Magnificat Blue Streaks
9768,ROBOKNIGHTS
9769,Toronto Prep
9770,Victory Church of Christ Robo Knights
9771,Frankfort Panthers
9772,Titans Robotics
9773,Wakefield - Marenisco
9775,Ravens
9776,GA Robotics
9777,Knights of the Lab Table
9778,Horizon Hawks Robotics
9779,Gladiator Robotics
9781,Northgate High School Robotics Club
9782,Wextech Titans
9785,Alectrona
9786,MHS Wolfpack
9787,Fathom Robotics
9788,Martin County TBD
9789,Platinum Ringleaders
